content,sentimen,aspek
Melaporkan lapak penipu sudah seminggu lebih tapi masih aktif lapaknya. Bukti screenshot padahal sudah lengkap tapi tidak ada tindakan lebih lanjut,negatif,Privacy
"Ngeselin chat shopee nya cuma balesan otomatis yg di setting, bukan bener2 dari CS. Jd meskipun berkeluh kesah juga gk ada jawaban yg memuaskan. Sama sekali gk menyelesaikan masalah.",negatif,Responsiveness
"komplain karna paket setelah 5 hari komplain baru ada info, pas telfon nanya palah di lempar sana sini gajelas sampe pulsa abis. . telfon cs cuma buang pulsa sampe 30rb sekali telfon lebih ga kelar masalahnya, pdahal telfon juga berkali2",negatif,Responsiveness
Shopee ini termasuk salah satu aplikasi belanja online teraman menurut saya karena sudah ada kontrol akses yang ketat untuk mencegah kebocoran data dan penipuan,positif,Privacy
"Senang berbelanja di shoope, transaksinya aman. Terima kasih",positif,Privacy
"Pesanan dan favorit saya tidak bisa dibuka,padahal jaringan lancar dan aplikasi sudah di update ke versi terbaru,tapi tetap saja tidak bisa dibuka",negatif,System Availability
"Pihak shopie slow respon, ktika komplain konsumen dirugikan olh seller, kapok sya blnja lagi. Klo gk ada tanggapan sya akan logout dari shopie. Msih bnyak apk blnja online lainnya.",negatif,Responsiveness
Saya rasa penanganan masalah dari penjual kurang karena penjual sulit mengakses kontak pembeli jd susah berkomunikasi scr langsung ttp terbatas via online chat utk me clearkan masalah,negatif,Contact
"Pelayanan shopee sangat mengecewakan, top up di indomaret tapi saldo tidak masuk (pending), terus sama shopee disuruh nunggu 1Ã—24 jam, lalu ada info lagi disuruh nunggu 5 hari. Merugikan pengguna",negatif,Compensation
"Tolong untuk pihak shopee Lebih teliti lagi, untuk tidak menerima Akun jualan yang penipu Kok bisa seperti itu... Masalah nya nanti akun penipu seperti itu menipu orang orang lagi Dengan cara menjual produk Pas udah di beli sama pembeli Akun jualan yang abal abal itu Mengsiasati nya dengan cara Produk yang anda cari tidak terdaftar",negatif,Privacy
"Mudah di gunakan, banyak promo, pokoknya josss, bisa COD bagi yg jauh dri atm atau ngga punya rekening",positif,Efficiency
"Kalau semisal ada masalah atau kendala, saya rasa ga susah mencari kontak shopee untuk dihubungi karena shopee ini ada banyak kontak yang bisa dihubungi bahkan mengeluh ke sosial media nya langsung juga bisa, jadi saya merasa tidak terlalu khawatir kalau ada kendala",positif,Contact
"Bagi saya apk Shopee yg paling OK dibanding yg lain. Pembayarannya aman, recommended bagi para penjual dan pembeli. SemangaaaatttðŸ’ªðŸ’ªðŸ’ª Trimakasih Shopeeeeee",positif,Privacy
"Pelayanan semakin memuaskan.Terima kasih Shopee.Ayo ayo ayo download aplikasi Shopee,dipelajari secara cermat,CS nya sangat baik siap membantu bila ada pertanyaan atau lainya...Terima Kasih Shopee",positif,Responsiveness
"yg bilang pesan chatnya eror, coba dipastikan sinyal atau aplikasi perlu diupdate karena setelah diupdate fitur pesan dpt berfungsi dengan baik aplikasiku",positif,System Availability
"Pengembalian uang yg pemesanan gagal untuk di pick up belum juga di kembalikan..chat dengan pihak sophee di suruh ketik no rek..dan bank jg sudah..tp kesannya di persulit, nyesel ku kali ini",negatif,Compensation
Saya sering berkomunikasi dengan admin shope melalui media sosial dan mereka selalu merespons dengan cepat. Sangat mudah untuk mendapatkan bantuan,positif,Responsiveness
fitur shopee barokah keren banget bisa melihat arah kiblat setelah memasukkan lokasi,positif,System Availability
"Kontak kurir dan namanya tidak ada, terus bagaimana caranya menghubungi buat bertanya paket dikirim kapan? Apa pelanggan harus stand by berhari hari di rumah terus? Kan pasti ada kerjaan di luar rumah, gimana si?",negatif,Contact
Saya berharap ada nomor telepon penjual yang bisa dihubungi atau chat nya dipisah dengan toko yang biasa spam chat atau auto chat karena jadi tidak terlihat dan susah buat menghubungi,negatif,Contact
Awal nya saya suka dgn aplikasi ini. Karena jujur mempermudah saya dlm usaha jualan online ke customer dipelosok Kalimantan Utara. Namun makin kesini makin lelet. Jadi saya putuskan akan saya coba selama sebulan lagi. Kalo masih lelet saya Out dari Aplikasi ini ðŸ™,negatif,Efficiency
"Informasi kontak yang tersedia tidak lengkap, sulit untuk mencari tahu cara menghubungi penjual slain melalui ruang obrolan jika ada kendala",negatif,Contact
Belanja di shopee sangat bagus dan pengiriman cepat sesuai dgn eksptasi dan harga nya sangat terjangkau terimakasih shoppe big ramadhan semoga semakin maju dan berkembang shopee tks.,positif,Fulfillment
"Pertanyaan, keluhan, masalah pelanggan dapat tersalurkan dengan baik karena adanya kontak atau layanan komunikasi yang disediakan oleh shopee",positif,Contact
Aplikasi bagus puas belanja online nya pengiriman nya juga cepat terimakasih shopee ðŸ˜ŠðŸ™ðŸ»,positif,Fulfillment
"Punya nomor telepon khusus untuk menangani keluhan pelanggan termasuk saya, pelayanan bintang 5…",positif,Contact
"Fasilitas oke sih, cuma gak friendly buat HP kentang. Suka lemot sama gampang overheat",negatif,Efficiency
"yang komen apk shopee lemot mungkin karena hp nya atau jaringan nya yang lemot jadi apk nya ikut lemot karena hp nya atau jaringan nya,apk shopee bagus kok fiturnya malahan bagus banget",positif,System Availability
"Spaylater bermasalah, sudah berulang kali konfirmasi CS tetap tidak membantu",negatif,Responsiveness
Yang tombol tidak bisa diklik mungkin bisa hapus cache sinyal stabil karena tombol saya berfungsi dengan baik kok overall oke,positif,System Availability
"bisa berkomunikasi langsung dengan pembeli, bagus",positif,Contact
Alhamdulillah Ada layanan belanja online seperti Shoppe.. Pelindungan keamanannya dari pihak shoppe lumayan bagus..,positif,Privacy
Bagus dan sangat mudah untuk pembatalan produk yg slow respon,positif,Compensation
apilkasii burikk udah hampir seminggu ditungguin gak datang paket mana gak jalan jalan paketnya aplikasi sampah,negatif,Fulfillment
"Sudah member silver, CO sudah 20x lebih & transaksi transfer berkali kali tp spaylater bermasalah, chat cs pun percuma, jawaban otomatis tidak ada tindakan !",negatif,Responsiveness
E-commerce ini benar-benar memprioritaskan privasi konsumen. Aplikasi ini mengikuti perkembangan teknologi untuk melindungi data dari ancaman kejahatan cyber. Saya merasa tenang dan percaya saat berbelanja di sini,positif,Privacy
"Paket lama tidak sampe, dan tidak ada update an resi setelah 5 hari baru ada info kalo paket hilang, pas telfon nanya soal refund tapi jawabannya gajelas ga kelar masalahnya ga ada info jelas terkait refundnya",negatif,Compensation
"Barang yg gw pesen 30x20 itu ga kecil dengan packingan sekecil itu dan foto bukti pengiriman dari kurir masih blm bs refund. Proses refund lama dan berteleÂ²,",negatif,Compensation
"Lama"" ko loading nya makin lama .parah bgt mau bayar aja loading nya masyallah bgt",negatif,Efficiency
Saya kecewa dengan aplikasi ini.krn akun saya di non aktifkan tdk bisa belanja..padahal saya tidak ada tagihan yang menunggak..spaylater jg bayar trs..spinjam jg g ada tagihan...tp saya di blokir.krn ada pihak yang tdk bertanggung jawab memakai akun saya..yang saya sayangkan...tdk ada pemberitahuan dr pihak shoppe bahwa akun saya di pakai orang...yang hutang bukan saya tp saya yang kena imbasnya.,negatif,Privacy
Barang sesuai yang dipesan.... ternyata bagus dan memuaskan... pengiriman yg cepat membuat saya akan selalu menjadi pelanggan Shopee.,positif,Fulfillment
fitur chat berfungsi lancar jadi bisa chat dengan lancar ke penjual untuk bertanya,positif,System Availability
"Aplikasi yang bermanfaat dan sangat membantu.. dan semoga terus berkembang, BRAVO SHOPEE..!!!!",positif,Efficiency
"Retur nya ribet timbang 98rb doang nunggu ampe berhari hari, padahal barang ny udah jelas2 udah sampe lgi ke penjual nya, gilaa Shopee pelayanan ny burukkkkkkkk.. udah kaya berurusan sama pemerintah, yang harus ny bisa simple and cepat ini malah di persulit dan di bikin lama. Selesai orderan terakhir uninstall cooyyyy najis sama yang ribet2.",negatif,Compensation
"Perlu ditingkatkan lagi keamanan aplikasi nya. Saya belum pernah verifikasi KTP untuk shopeepay, kenapa tidak bisa tulisan nya KTP sudah digunakan. Emang ada akun yang menggunakan KTP saya? Berarti data saya sudah kesebar jadi digunakan akun lain dong",negatif,Privacy
Fitur notifikasi muncul sangat baik alhasil jadi tau pesanannya mau diantar dan bisa mantau sebelum pergi,positif,System Availability
pengiriman terlalu lama bangat 1 minggu barang belom juga nyampe stak di situ aja saya sebagai pelanggan shopi merasa kecewa dan tolong dari pihak shope tolong di perbaiki lagi,negatif,Fulfillment
Kalau ada complain cepat tanggap,positif,Responsiveness
"Masalah saya slalu ditanggapi oleh shopee, respon yg ramah",positif,Responsiveness
Tersedianya informasi kontak penjual yang jelas memudahkan saya dalam menghubungi mereka jika ada pertanyaan atau masalah dengan pesanan,positif,Contact
"Banyak bug di Aplikasi shopee, aplikasi selalu keluar sendiri",negatif,System Availability
Aplikasi terrrrlemot yg ada di dunia ...parah .....!!!! Transaksi pakai shopee buang banyak waktu...rugi besar .... Auto hapus aplikasi lemot,negatif,Efficiency
Saya sangat menyukai aplikasi shopee krena penjual nya ramah dan baik hati semua pengirimannya cepet dan barang nya sesuai sama yg dipesan / difoto pokokny kalo belanja dishopee harganya terjangkau deh makasih ya,positif,Fulfillment
"Update tiap bulan bukannya lancar malah blank , setiap mau checkout selalu eror",negatif,System Availability
Retur barang yang mudah dan segera diganti barang yang baru,positif,Compensation
Kecewa sama pihak shoope padahal udh jelas jelas produk ny gk sesuai harapan dan keingin consumen tapi sekarang gk bisa di kembalikan barang...kecewa berat....sampai bolak balik 3x klik pengembalian barang tapi gk bisa !! Dibilang kurang bukti,negatif,Compensation
Terima kasih atas kebijakan pengembalian yang baik. Saya dengan mudah mengajukan pengembalian untuk barang yang tidak sesuai dan mendapatkan penggantian dengan cepat,positif,Compensation
"diupdate bukannya makin oke malah fitur search bar tokonya error. ngga bisa muncul apa-apa. bikin shopee lite aja deh mending yang lebih ringan dan ga gampang error. yang ngga ada shopee video sama shopee game nya juga, ngga guna sumpah.",negatif,System Availability
"Di aplikasi shopee, tombol berfungsi dengan baik. Salah satunya yaitu pada fitur keranjang terdapat tombol kurang dan tambah untuk menambah dan mengurangi item saat berbelanja, saya menggunakan tombol tersebut pada saat berbelanja dan bisa digunakan dengan lancar. Shopee sudah bagus, semoga semakin lebih baik",positif,System Availability
"Belanja di shopee asik banget, belum pernah ketipu dengan olshop manapun, karna shopee protec nya sih oke, pengiriman ny jg tepat waktu & barang aman terjaga. Tengkyu shopee ðŸ˜Šâœ¨",positif,Fulfillment
"Aplikasi ini memudahkan saya dalam berbelanja, hanya dengan rebahan saja barang bisa datang ke rumah, saya juga suka karna ada fitur COD itu juga sangat memudahkan saya jika saya dalam kondisi saldo kosong, terimakasih Shopee, aku sangat senang dan beruntung mempunyai Mu, bintang 5 â­â­â­â­â­",positif,Efficiency
Tidak ada informasi media sosial penjual jadi tidak bisa mencari tahu informasi lebih dalam terkait penjual,negatif,Contact
Pesan ditungguin 2 hari ternyata barang kosong dan dibatalin deh. Lah ngapain masih bisa di order kalau kosongðŸ˜‘,negatif,Fulfillment
Aplikasi yg semakin lama semakin ga jelas. CS nya pun di tanya ga nyambung jawabannya. Jadi males belanja di shoppe lagi... Auto uninstall...,negatif,Responsiveness
"Tolong mengenai pembelian etoll di perbarui, masa dana saya tidak di kembalikan sedangakan di transaksi shoope selesai tolong shoope di perbaharui untuk sistem etollnya",negatif,Compensation
fitur bayar dengan barcode dapat berfungsi dengan baik jadi bisa cashless keren,positif,System Availability
Apk kurang lengkap atau mesin pencarian nya kurang ilmu Padh di apk sebelah bisa dan langsung ketemu Untuk kedepannya tolong di update mesin pencarianya ya... Sehat sehat developer,negatif,System Availability
"Ketika ada kendala jawaban cs hanya ""pastikan gunakan jaringan stabil"" matamu stabil, apk lain aman2 aja.. pake tiktok shop sih lebih friendly user..",negatif,Responsiveness
"Bisa lancar scroll scroll video ok bgt,,",positif,System Availability
Tingkatkan keamanan. Masih bnyk penipuan produk.,negatif,Privacy
Membantu belanja.....apalagi bt emakÂ² dua buntut gini....kalo ke toko...malu karena bocil seringkali rusuh,positif,Efficiency
Bagus fiturnya kok... Cuma kalo jaringan seluler lagi ga stabil emang butuh waktu sebentar ðŸ˜‚,positif,System Availability
"Hallo Shopee,,, Sekarang semua sudah bagus,,terimakasih banyak Shopee,,,,karena selama ini tiap usulan & keluhan direspon dengan baik, Terimakasih Shopee,,,sukses selalu,,,",positif,Responsiveness
"dengan shopee belanja jadi lebih gampang, karena bisa COD",positif,Efficiency
"Mohon maaf. Ketika diminta update, saya mengikuti update. Tapi malah tidak bisa untuk menggunakan shopee games karena muncul layar kosong. Sudah hapus cache, memori masih banyak, jaringan stabil perizinan di izinkan, tapi tetep saja tidak bisa. Akhirnya saya uninstall dan install lagi, oke hanya beberapa saat bisa untuk dibuka, tapi kembali lagi menjadi layar kosong. Dan saya melakukan uninstall & install setiap hari tapi tetap akan kembali lagi. Mohon solusinya. Terima kasih",negatif,System Availability
"Filter lokasi tidak bisa terfilter saya ngefilter jawa tengah tapi masih aja sama tidak ada perubahan,,sinyal saya juga kenceng,, itu kenapa ya",negatif,System Availability
"Tiap kali karena masalah shopee instant cari cs gak ada solusi malahan suruh tunggu terus,dari dulu suruh tunggu 3 jam sekarang jadi disuruh tunggu 6 jam untuk cari drivernya, bukan sistem yang diupgrade tapi kesabaran kustomer yang upgrade ya. bukan selesaikan masalah malahan bikin emosi aja ðŸ‘Ž",negatif,Responsiveness
Pengiriman barang cepat dan kurir ramah semoga awet barang yang saya beli dan jaya terus shopee sementara tak kasih bintang 4 dulu ya,positif,Fulfillment
"Bukan susah menghubungi kurir tetapi tidak bisa menghubungi kurir, kenapa?,,ya karena yang dihubungi itu nomornya siapa?,,gak ada nomor yang bisa dihubungi",negatif,Contact
"Tanya jawab nya dgn shoope nya yg skrg di bikin otomatis , padahal kita kadang pingin tanya hal lain , tapi gak bisa karena pertanyaan n jawaban sudah otomatis ,itu yg bikin tidak puas ,gak seperti dulu ,dulu kita mau nanya apa aja bisa Makanya dgn gendala ini saya hanya bisa kasih bintang 1 ,karena tidak puas dgn jawaban n pertanyaan nya yg dengan otomatis ini Kalau bisa di bikin kayak dulu ,jadi kita bebas bertanya n jawaban nya juga bisa puas",negatif,Responsiveness
"Dalam pesanan dibuat dong nama kurirnya dan buat jugak nomor telepon kuritnya. Jadi bisa ngehubungi kurirnya mau dikirim kapan, sampe mana dll",negatif,Contact
Tidak bingung saat ada pertanyaan atau kendala atau keluhan menyampaikan kemana karena banyak cara yg disediakan utk berkomunikasi dgn shopee,positif,Contact
"Untuk aplikasi membantu untuk melakukan pemesanan barang baik secara cash (COD), transfer atau pun spay dan spaylater Tapi sekarang jadi ada biaya tambahan mungkin bisa dikurangi Over all bagus baik aplikasi atau pun layanannya",positif,Efficiency
Mau hbungin kurirnya gabisa gaada kontaknya pdhl paket saya bermasalah mau minta kejelasannya. Psen buat kurir klo krja yg jujur klo gabisa krja jngan ngerepotin org. Mksh,negatif,Contact
Pengembalian dana yang mudah dan cepat adalah salah satu keunggulan dari aplikasi ini. Saya merasa aman berbelanja di sini,positif,Compensation
Mantap barang selalu lebih cepat sampai dan sesuai pesanan,positif,Fulfillment
Nomor kurir tolong di cantumin di sub pengiriman. Biar salah alamat gampang ngehubunginya.,negatif,Contact
"Memiliki verifikasi dua faktor yang menambah lapisan perlindungan ekstra saat kita melakukan transaksi, jadi aman deh",positif,Privacy
"Sementara msh baik"" aja tp kenapa aneh nya tiba"" aplikasinya keluar sendiri dan mengganti akun pada hal saya gx menghapus akun saya jd bagaimana ini apakah pesanan saya msh tetap bisa smpai walau pun bukan akun saya di aplikasi shoope yg skrng tolong di perbaiki lg",negatif,System Availability
"Saya merasa terlindungi data akun saya, karena harus ada OTP yang melalui nomor saya jadi tidak sembarangan orang bisa masuk",positif,Privacy
"Aplikasi Shopee sangat membantu kita untuk memenuhi kebutuhan mendesak, terutama fitur spaylater dan spinjam nya sgt bagus dan perlu dipermudah agar pengguna Shopee baru bisa merasakan manfaatnya dan selalu setia dgn ShopeeðŸ‘ðŸ‘ðŸ‘ðŸ‘",positif,Efficiency
dengan adanya aplikasi shopy sudah sangat membantu.dan saya yakin sangat bnyak orang terbantu.terima kasih,positif,Efficiency
Dulu sih senang belanja di sini tapi sekarang aplikasinya suka lelet jadi nggak bisa belanja,negatif,Efficiency
Saya merasa nyaman berbelanja di aplikasi ini karena mereka secara proaktif melawan penipuan dan ternyata shopee memiliki tim untuk mendeteksi dan mencegah transaksi yang mencurigakan serta memblokir toko jika terbukti menipu,positif,Privacy
"Informasi kontak kurir tdk disediakan, membuat repot",negatif,Contact
"Kenapa setelah di update aplikasi bikin hp error tiap kali dibuka keluar sendiri, tolong la beri yg terbaik agar kami setia menggunakan shoopeðŸ˜Œ",negatif,System Availability
"tiga kali beli paket data tapi tidak masuk, minta pengembalian dana juga gk bisa",negatif,Compensation
"Shopee kami dari segenap konsumen sangattt kecewa. Perusahaan sebesar shopee, IT nya gak bisa memperbaiki masalah.. keluhan konsumen gak pernah di tanggapi apk shopee ini. Buatt emosi !!!",negatif,Responsiveness
Kalo bisa pengirimanx jgn pake lewat laut karna kelamaan akhirx BRG bisa rusak ato dus pada peok.Terima kasih.,negatif,Fulfillment
"Saya bisa berinteraksi dengan pengguna lain lewat aplikasi ini, bagus karena saya biasanya suka tanya tanya ke sesama pengguna",positif,Contact
Saya komplain barang dari penjual dan sudah saya retrun barang tersebut dri bulan 3 tanggal 27 2023 sampai sekarang di bulan 4 tanggal 8 belum ada juga di clear kan dan satu lagi tolong yaa pihak Shopee barang saya ada di antar oleh kurirnya dan ternyata kurirnya salah meletakkan barang tersebut saya komplain terhadap expedisi Shopee dan kurir terlalu malas saya harap barang yang salah kurir meletakkan di cancelâŒâŒâŒ dan satu lagi barang yang sudah di retrun ke penjual harus cepat clearkan paham,negatif,Compensation
"So far so good barangnya, pengiriman okke, barang sesuai ekspektasi banget..thanks seller dan terima kasih shopee..",positif,Fulfillment
Kenapa dalam satu bulan ini banyak akun fake.. Dan tolong akun2 fake untuk di bersihkan ya..,negatif,Privacy
Shope kadang2 bikin kecewa dari jasa kurir nya. Barang yg seharus nya sdh di terima tetapi bisa mundur 1 minggu tanpa ada keterangan yg jelas,negatif,Fulfillment
"Bintang 4 aja, krn di tempat qu jaringannya masih suka error alias lemot. Jadi kadang2 mau cepet malah jadi lama loading nya.",negatif,Efficiency
"Gimana ini aplikasinya min, sebentar sebentar keluar aja, mana mau pedan bsrsng lagi, setelah d perbarui banyak kendala, sbelum d perbarui aman aman aja, saya perbarui karena pesan ke penjual gak bisa , jaringan dan memori aman semua.",negatif,System Availability
Aplikasi ini memberikan pengalaman pengembalian yang paling mudah yang pernah saya alami. Saya hanya perlu mengikuti beberapa langkah sederhana dan uang saya dikembalikan,positif,Compensation
Masih ada toko barang penipu.. dan shopee membiarkan hal itu.. memberatkan konsumen.. ðŸ™ðŸ™,negatif,Privacy
"Saldo shopee pay saya di bekukan.. Karna ada akun yg tertaut belum bayar pay liter... Gak jelas... Ini. Siapa yg punya hutang w yg di blok gak bisa transfer, keamanan di shopee bagaimana? akun pay liter saya kok digunakan orang lain.. Minta data ktp sama kk. Perbankan macam apa kayak gini.. Mendingan pake dana,ovo, gopay, gak pernah ada masalah kayak gini. Prifasi orang bos jangan di sangkut pautin sama akun lah.",negatif,Privacy
"Barang nya murah, pengiriman cepat, barang sesuai Terima kasih.",positif,Fulfillment
"Ga pantas dikasih bintang satupun, buat cs shopee nya slr banget klo ngerespon. Bikin emosi gue aja dh.",negatif,Responsiveness
Shopee sekarang pengiriman sangat buruk masa mau beli barang ekpedisinya harus shopee express standard padahal dulu selalu pake j&t datangnya cepet bgt sekarang pake shope express buruk sekali pelayananya dan lemot bangett datangnya lama dah lah uninstal aja gak belanja dishope lagi pindah lazada!!,negatif,Fulfillment
"Tingkat kan kinerja pengiriman nya.. Paket saya selalu gagal oleh pihak kurir.. Notifikasi di aplikasi kata nya sedang di kirim ke alamat tujuan,ga tau gagal dan di tunda.. Sudah ke 3 kali nya saya alami seperti itu..",negatif,Fulfillment
Layanan pelanggan yang tanggap dan ramah membuat proses pengembalian barang menjadi menyenangkan. Mereka dengan cepat mengatasi masalah dan memberikan kompensasi yang pantas,positif,Compensation
"Ketika saya memiliki pertanyaan tentang produk, saya bisa dengan mudah menghubungi penjual lewat aplikasi",positif,Contact
Aplikasinya Bagus dan Cs nya ramah,positif,Responsiveness
"Tolong ditindak toko penjual yg melakukan penipuan, jangan asal promo discount besar untuk menarik tapi ternyata penipuan",negatif,Privacy
"Ada masalah tanya ke cs terus jawaban cs shopee uda pasti cuma ""pastikan sudah update shopee yg terbaru, jaringan internet anda stabil, hapus chache log out log in, PRETTTTT LAH.. SEMUA SUDAH STABIL TAPI KOK KELUHANNYA ORANG2 SAMA SEMUA ðŸ¤£.",negatif,Responsiveness
banyak cashback terus belanja tanpa drama eror aplikasi lancar bagus,positif,System Availability
"Admin Shopee tolong kalau bisa gak usah bikin ekspedisi sendiri biarin ekspedisi lain yang ambil paket saya, permasalahannya adalah paket saya itu udah satu kecamatan tapi masih berhenti di hub terakhir dan itu udah 2 hari berhenti. Padahal tokonya juga satu kecamatan tapi transitnya lemot banget, belum lagi nanti kurirnya nyari alamat sampe berhari-hari. Bener-bener kecewa sama ekspedisi Shopee express, bukannya customer seneng tapi malah kecewa. Contoh ekspedisi lain yang hanya butuh 2 hari aj",negatif,Fulfillment
"Barang bagus, kemasan rapih, pengiriman tepat waktu",positif,Fulfillment
"Abis di perbarui fitur sudah berfungsi dengan baik, ok bagus..",positif,System Availability
Makin kesini makin kesana. Pengajuan pengembalian ditolak. Uang 100K hilang gatau kemana,negatif,Compensation
"Pengguna menjadi sasaran peretas karena keamanan sistem yang lemah dari shopee, menyedihkan",negatif,Privacy
"Pelayanan pelanggan yang ramah dan efisien membuat saya merasa nyaman. Ketika ada masalah, mereka dengan cepat menyelesaikannya dan memberikan kompensasi yang layak",positif,Compensation
Tolong dong kemampuannya untuk menanggapi keluhan pelanggannya ditanggapi dengan tepat&baik Saya sudah mengubungi pihak shopee tapi tetap tidak ada tanggapan!!,negatif,Responsiveness
Gamenya sering macet. Dan akun juga tiba tiba logout sendiri. Sekarang setelah di update malah beranda dan page cekin error gak bisa refresh,negatif,System Availability
Pernah ditipu sekali... Dan shope belum ada tindakan unt toko ybs... Harusnya shope sudah ada bagian khusus penangan toko nakal... Shope udah sebesar ini... Sebuah kekurangan menurut saya... Kan bisa liat di penilaian toko. Ada yg ditipu gk??? Atau shope punya ruang khusus unt membuka percakapan dengan konsumen yg ditipu,negatif,Privacy
"Punya masalah.Tindak lanjut dari CS sama aja, gak ada perubahan!",negatif,Responsiveness
"Shopee kenapa ya?Kalau penilaian tuh,Beli banyak barang disatu Toko dan Penilaian,Loadingnya lama,4 foto 1 Video,Susah banget diupload.Padahal pakai Wifi+Data.Kadang Wifi/Data aja Kasihan Penjual,ngga dapat ðŸŒŸ baik karena ini.",negatif,Efficiency
"Pegiriman cepat,cod okðŸ‘ Selama ini barang sampai sesuai pesanan,semoga terus seperti itu. ðŸ¤ðŸ™ Shopee big ramadhan,pelayanan tetap berjalan baik,brg pesanan datang sesuai pesanan dan foto yg ditampilkan.",positif,Fulfillment
"Seminggu ini sering terjadi selisih ongkir yang dibebankan ke seller, saat dikomplain jawabannya bertele2 kayak gak mau ganti, kalau Shopee express sering salah ongkir ya perbaiki dong",negatif,Responsiveness
"Saya melakukan transaksi terus pesanan saya belum terivikasi padahal uang udah masuk saya mengajukan pengembalian suruh nunggu 3 hari saya udah nunggu 4 hari karena kemariin tanggal merah eh masalahnya belum terselesaikan dana tak kunjung kembali udah seminggu aslinya tapi laporan kemarin"" Belum terivikasi sumpah pelayanan. Nya buruk nyesal belanja"" Lagi di Shopee buat kalian mending COD jangan tf dan buat Shopee ambil aja uangnya kayak lebih membutuhkan",negatif,Compensation
"Sangat disayangkan, tidak seperti aplikasi sebelah, saya gak nyaman kalau nomor kurirnya gak ada, karena kalau paket saya misal ada keluhan kan bisa bertanya setidaknya ke kurirnya, saya sepertinya beralih ke aplikasi sebelah saja ya",negatif,Contact
"Kalau bisa kasi bintang satu beribu kali, ku pala2in waktu ku utk kasi bintang 1 ke aplikasi ini, parah, di DM respon nya lama, ampuuunnn",negatif,Responsiveness
"Ketika saya menghadapi masalah dengan pesanan saya, saya bisa langsung menghubungi layanan pelanggan melalui nomor telepon yang tersedia, bagusnya shopee menyediakan melalui nomor telepon juga jadi bisa ngobrol langsung",positif,Contact
Senang berbelanja di shoope dan apabila ada kendala mudah untuk komplen dan ditindaklanjuti,positif,Responsiveness
"Maaf ðŸ™ saya edit ulasannya bintang 1 dikarenakan saya mengajukan pengembalian dana & barang, meskipun permasalahan ada yang selesai tapi dari pihak tim shopee terlalu lama & rumit menangani Customer butuh 3 hari baru selesai (diluar tanggal merah/hari libur). Ini semua permasalahannya ada disalah satu agen kurir (ekonomi) yang tidak profesional",negatif,Compensation
Kurir Shopee food suka keliling dunia dahulu baru antar makanan. Makanan saya sudah 3 kali hilang gak sampai. Dan hari ini pesanan saya h+3 masih diserahkan ke kurir. Makin burukk,negatif,Fulfillment
"Recomended utk belanja on line, pengembalian barang juga tidak sulit.",positif,Compensation
"Setelah melihat ulasan kalau tautan ada yang tidak bisa dibuka, saya mencoba merekomendasikan produk dengan mengirim tautan produk ke teman. Ternyata tautannya dapat dibuka kok dan teman saya suka produknya, semoga tidak ada kendala kedepannya shopee",positif,System Availability
Selalu puass belanja di shopee....barang berkualitas....pengiriman cepat ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,positif,Fulfillment
"Ternyata shope juga menyediakan kirim pesan lewat instagram jika ada masalah, wah baru tau lo saya,,bagus juga ternyata,,",positif,Contact
untuk pengiriman via jnt selalu lama. memang ada tanggal estimasi masa pengirimannya. tapi klo memang lebih cepat dikirim itu lebih bagus dari pada harus berhari-hari di timbun di dropship. resikonya paket sering rusak saya sudah beberapa kali mendapatkan paket saya hancur karena dropship dan pengiriman di jnt.,negatif,Fulfillment
"Saya baru mendaftr akun di sofi, saya yakin data saya aman dan tidak dibagikan ke pihak yg tdk brwenang krn sofi ini saya cari tau merupakn aplikasi belanja online yg trnsparan jadi oke lah",positif,Privacy
Fitur chat di aplikasi ini sangat interaktif. Saya bisa berdiskusi langsung dengan penjual atau pengguna lain tentang produk yang ingin saya beli,positif,Contact
Jasa pengiriman sekarang sangat jauh berbeda dgn yg dlu semenjak Shopee express mengambil alih yg memakan wkt sangat lama karena memakai jalur laut biasanya wkt masih j&t hanya memakan wkt 3-4 hari sudah sampai. Sekarang butuh waktu 9 hari dgn jasa pengiriman Shopee express dan itupun pihak kurirnya sering membatalkan pesanan secara sepihak tanpa mencoba mengantar menghubungi terlebih dahulu,negatif,Fulfillment
"shopi ini bagus, aplikasi belanja online yang aman dan terpercaya",positif,Privacy
"Mungkin apknya sudah bagus,cuma saya kecewa di fitur shopeefoodnya, saya beberapa kali ngalami eror sistem, dimana pesanan saya tibaÂ² berubah, dan juga kadangÂ² jadi doble itupun gk bisa dicansel",negatif,System Availability
"Puas , terutama ketika pembelian dibatalkan. Pengembalian saldo cepat.",positif,Compensation
"Shopee makin sini makin gajelas dari segi pengiriman,menghubungi customer shopee express gak ada respon lagiðŸ¤¦ðŸ¤¦ðŸ¤¦",negatif,Responsiveness
"Paling suka sama shopee, karena kalau yang lain itu suka bingung belanja nya dll. Kalau ini mudah dipahami.",positif,Efficiency
"Kecewa sih, pengiriman nya sangat lama dari bekasi-subang seminggu belum datang juga barang. Kalau seperti ini kan saya jadi malas untuk belanja online. Barang nya sangat saya butuh kan. Kesel saya",negatif,Fulfillment
"Aplikasi shopping yg sangat bermanfaat,. Nice,. Tapi kok tambah lemot ya aplikasinya,. Terimakasih atas appnya,...........",positif,Efficiency
